row_type,arm,system,gamma,client,model,dsa,k0b_R,chi_out,positive_routing_strength,total_routing_strength,positive_class_concentration,standardized_routing_energy,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,predictor,n,pearson_with_dsa,spearman_with_dsa,dsa_delta,k0b_R_delta,k0b_R_ratio,chi_out_delta,chi_out_ratio,positive_routing_strength_delta,positive_routing_strength_ratio,positive_class_concentration_delta,positive_class_concentration_ratio
observation,l0,local,0,2,ShuffleNet,0.008151684813691157,0.0588664480712026,0.3439385948320832,0.04815479229566991,0.0899480297034923,0.23917328983585318,5.7566739010235075,0.9849650345560694,0.9609501545476316,,,,,,,,,,,,,
observation,l0,local,0,3,Mobilenetv2,-0.0028675398228692126,0.04896027756751384,0.3731899897139511,0.04586369943586818,0.09058609128570053,0.17138327460504166,5.7975098422848355,0.9941482255561801,0.9430529444063203,,,,,,,,,,,,,
observation,l9,local,9,0,ResNet10,0.26408085435478656,0.18392042541658682,0.5540331932490412,0.21238538727366424,0.34417689566186443,0.37158221600719327,22.027321322359327,0.9996211016243336,0.9969098659988691,,,,,,,,,,,,,
observation,l9,local,9,1,ResNet12,0.2639512371404141,0.3542229253658546,0.6032132916824747,0.22282635554751087,0.3592977175156913,0.5633749421180223,22.995053921004246,0.9999656444936753,0.9993232454155347,,,,,,,,,,,,,
observation,l9,local,9,2,ShuffleNet,0.10689314000847358,0.08072962778486302,0.5939980368988838,0.1569145732211749,0.27985396882426267,0.2527006657701739,17.91065400475281,0.9980054219975367,0.9938981371994832,,,,,,,,,,,,,
observation,l9,local,9,3,Mobilenetv2,0.18583188358960082,0.3013335699940501,0.7259535416902744,0.1740921612862766,0.3149200531055148,0.3969707023049739,20.154883398752947,0.9996282210957399,0.9941056173854657,,,,,,,,,,,,,
correlation_all_16,,,,,,,,,,,,,,,k0b_R,16,0.8648001719316651,0.8615611192930782,,,,,,,,,
correlation_all_16,,,,,,,,,,,,,,,chi_out,16,0.8393555039044759,0.7407952871870399,,,,,,,,,
correlation_all_16,,,,,,,,,,,,,,,positive_routing_strength,16,0.981010898018314,0.8969072164948455,,,,,,,,,
correlation_all_16,,,,,,,,,,,,,,,positive_class_concentration,16,0.902560789456606,0.858615611192931,,,,,,,,,
cle_effect,,hfl,,0,ResNet10,,,,,,,,,,,,,,0.2605434863809326,0.09740073656379176,2.125763833101434,0.20433284733552454,1.5843083935194997,0.17250062707212005,5.324975910476116,0.11009346316361474,1.4210256156908254
cle_effect,,hfl,,1,ResNet12,,,,,,,,,,,,,,0.26431616734486874,0.39180193766646754,13.852629498324466,0.4055455226999786,2.297723542914426,0.18533501365775384,6.3373807758869525,0.42177865887325094,3.6178481518825865
cle_effect,,hfl,,2,ShuffleNet,,,,,,,,,,,,,,0.09706134345730683,0.08917504354412786,2.726806840641094,0.21075524807379098,1.659327911044332,0.10890340161561272,3.582153061400757,0.06934602304752924,1.3832322061360711
cle_effect,,hfl,,3,Mobilenetv2,,,,,,,,,,,,,,0.18906964109105137,0.24902240815572207,6.734791920660099,0.3917368897056152,2.1577115625319743,0.1402197311792318,4.59601181533922,0.23190886058137375,2.3844174255395014
cle_effect,,local,,0,ResNet10,,,,,,,,,,,,,,0.26331255449380014,0.12144951495781733,2.944097085555194,0.09305011570255178,1.2018514783592376,0.15781018796598056,3.891609924727672,0.2155402963822466,2.3812973904571635
cle_effect,,local,,1,ResNet12,,,,,,,,,,,,,,0.26671007812999936,0.3147046095009257,8.96351268023675,0.27805228624828504,1.8551218676272232,0.18610328601655346,6.067748649213577,0.4192404199661122,3.9086745749942304
cle_effect,,local,,2,ShuffleNet,,,,,,,,,,,,,,0.09874145519478242,0.02186317971366042,1.3714030730348152,0.25005944206680053,1.727046763062915,0.108759780925505,3.25854532305866,0.01352737593432074,1.0565588905958025
cle_effect,,local,,3,Mobilenetv2,,,,,,,,,,,,,,0.18869942341247004,0.2523732924265363,6.154654037088967,0.35276355197632325,1.945265311764579,0.12822846185040843,3.795859545214318,0.22558742769993223,2.316274462706408
correlation_cle_effect_8,,,,,,,,,,,,,,,k0b_R,8,0.5697090162982936,0.7380952380952381,,,,,,,,,
correlation_cle_effect_8,,,,,,,,,,,,,,,chi_out,8,-0.00304248376202608,0.16666666666666666,,,,,,,,,
correlation_cle_effect_8,,,,,,,,,,,,,,,positive_routing_strength,8,0.9458536375144099,0.9523809523809523,,,,,,,,,
correlation_cle_effect_8,,,,,,,,,,,,,,,positive_class_concentration,8,0.7273226619102455,0.7619047619047619,,,,,,,,,
