arm,system,gamma,client,model,bank,carrier_half,probe_index_within_bank,top_routed_class,top1_top2_margin,retained_across_carrier_halves
h0,hfl,0,0,ResNet10,bank_b,ua,60,4,0.08257338569346094,True
h0,hfl,0,0,ResNet10,bank_b,ua,61,4,0.027646865541966104,False
h0,hfl,0,0,ResNet10,bank_b,ua,62,4,0.012493725036271011,True
h0,hfl,0,0,ResNet10,bank_b,ua,63,4,0.019504708285603523,True
h0,hfl,0,0,ResNet10,bank_b,ub,0,4,0.07107185832855337,True
h0,hfl,0,0,ResNet10,bank_b,ub,1,4,0.10806832091619088,True
h0,hfl,0,0,ResNet10,bank_b,ub,2,4,0.12163141488829685,True
h0,hfl,0,0,ResNet10,bank_b,ub,3,6,0.014182290515617722,False
h0,hfl,0,0,ResNet10,bank_b,ub,4,0,0.03385269028285916,True
h0,hfl,0,0,ResNet10,bank_b,ub,5,2,0.06390946330928446,True
h0,hfl,0,0,ResNet10,bank_b,ub,6,4,0.09300329373371947,True
h0,hfl,0,0,ResNet10,bank_b,ub,7,6,0.1372689530941093,True
h0,hfl,0,0,ResNet10,bank_b,ub,8,6,0.04567274629448083,True
h0,hfl,0,0,ResNet10,bank_b,ub,9,6,0.28306228640758946,True
h0,hfl,0,0,ResNet10,bank_b,ub,10,4,0.07158673873909292,True
h0,hfl,0,0,ResNet10,bank_b,ub,11,4,0.08270952730126757,True
h0,hfl,0,0,ResNet10,bank_b,ub,12,4,0.08053809904704028,True
h0,hfl,0,0,ResNet10,bank_b,ub,13,4,0.0456225962269072,False
h0,hfl,0,0,ResNet10,bank_b,ub,14,4,0.031687992824747324,False
h0,hfl,0,0,ResNet10,bank_b,ub,15,4,0.04509148176675472,False
h0,hfl,0,0,ResNet10,bank_b,ub,16,4,0.06381858615080525,True
h0,hfl,0,0,ResNet10,bank_b,ub,17,6,0.00023087694978304873,True
h0,hfl,0,0,ResNet10,bank_b,ub,18,6,0.19741135960477837,True
h0,hfl,0,0,ResNet10,bank_b,ub,19,4,0.0910421694387922,True
h0,hfl,0,0,ResNet10,bank_b,ub,20,4,0.032414937264684536,False
h0,hfl,0,0,ResNet10,bank_b,ub,21,0,0.04978424728822821,True
h0,hfl,0,0,ResNet10,bank_b,ub,22,4,0.15871224969310843,True
h0,hfl,0,0,ResNet10,bank_b,ub,23,4,0.02773215009254927,False
h0,hfl,0,0,ResNet10,bank_b,ub,24,4,0.05137860725917019,True
h0,hfl,0,0,ResNet10,bank_b,ub,25,0,0.047007001179317956,True
h0,hfl,0,0,ResNet10,bank_b,ub,26,0,0.1849728789468818,True
h0,hfl,0,0,ResNet10,bank_b,ub,27,7,0.011028535379898216,True
h0,hfl,0,0,ResNet10,bank_b,ub,28,6,0.020674968872846256,True
h0,hfl,0,0,ResNet10,bank_b,ub,29,6,0.40478522840171427,True
h0,hfl,0,0,ResNet10,bank_b,ub,30,4,0.15670851472677086,True
h0,hfl,0,0,ResNet10,bank_b,ub,31,6,0.019383973022058937,True
h0,hfl,0,0,ResNet10,bank_b,ub,32,6,0.16902896724133093,True
h0,hfl,0,0,ResNet10,bank_b,ub,33,4,0.0379936059059703,True
h0,hfl,0,0,ResNet10,bank_b,ub,34,4,0.025213506852869078,False
h0,hfl,0,0,ResNet10,bank_b,ub,35,6,0.20290275239525757,True
h0,hfl,0,0,ResNet10,bank_b,ub,36,6,0.045522375993627684,False
h0,hfl,0,0,ResNet10,bank_b,ub,37,4,0.12818752427259672,True
h0,hfl,0,0,ResNet10,bank_b,ub,38,0,0.032129770150917725,True
h0,hfl,0,0,ResNet10,bank_b,ub,39,4,0.08935196508818909,True
h0,hfl,0,0,ResNet10,bank_b,ub,40,6,0.009081662924273981,True
h0,hfl,0,0,ResNet10,bank_b,ub,41,6,0.2960437828817466,True
h0,hfl,0,0,ResNet10,bank_b,ub,42,4,0.1970097260053189,True
h0,hfl,0,0,ResNet10,bank_b,ub,43,0,0.015780100099075642,True
h0,hfl,0,0,ResNet10,bank_b,ub,44,6,0.14112307273022595,True
h0,hfl,0,0,ResNet10,bank_b,ub,45,4,0.12551010702477908,True
h0,hfl,0,0,ResNet10,bank_b,ub,46,4,0.06496462654575724,True
h0,hfl,0,0,ResNet10,bank_b,ub,47,4,0.07458381610387876,True
h0,hfl,0,0,ResNet10,bank_b,ub,48,0,0.09899279575255454,True
h0,hfl,0,0,ResNet10,bank_b,ub,49,0,0.12597439362810037,True
h0,hfl,0,0,ResNet10,bank_b,ub,50,6,0.08077370032312739,True
h0,hfl,0,0,ResNet10,bank_b,ub,51,4,0.15292217543239217,True
h0,hfl,0,0,ResNet10,bank_b,ub,52,4,0.019020368604191984,True
h0,hfl,0,0,ResNet10,bank_b,ub,53,0,0.10769325577970844,True
h0,hfl,0,0,ResNet10,bank_b,ub,54,4,0.10841077810909949,True
