arm,system,gamma,client,model,bank,carrier_half,chi_out,top1_trace_share,top2_trace_share,top4_trace_share,effective_rank_entropy,effective_rank_participation,frobenius_norm,standardized_routing_energy,singular_values,positive_routing_strength,total_routing_strength,positive_class_concentration,total_class_concentration,mean_probe_top1_top2_margin,top1_class,top3_classes,top5_classes,cross_half_positive_profile_cosine,cross_half_total_profile_cosine,cross_half_z_cosine,cross_half_probe_top_class_retention,cross_bank_positive_profile_cosine,cross_bank_total_profile_cosine
h0,hfl,0,3,Mobilenetv2,bank_b,ub,0.32771021898784586,0.5027132467103455,0.7125560454167724,0.9418919342491613,3.9994502223780892,3.0514764021870087,2.2353158459366256,4.996636931095369,1.58488976723;1.02396693196;0.880820567379;0.608328282959;0.408953806569;0.249339999091;0.209307351409;0.119628826731;0.0530154008943;2.49294701102e-09,0.039321459380253596,0.07807245204836517,0.16314190369367143,0.13602801402778494,0.04913931390829454,6,6;0;4,6;0;4;8;9,0.996311772795743,0.9906449044293448,0.9798668898982632,0.875,0.9252605727011622,0.9767943020693578
h9,hfl,9,0,ResNet10,bank_a,ua,0.5543229881526499,0.7205563723331447,0.8935188037685493,0.98353206010371,2.4287521634749014,1.8040023981881395,4.6169301089661285,21.316043631077978,3.91910845363;1.92012362493;1.19826178055;0.694906615808;0.505714213531;0.252739321671;0.175843668447;0.0170030124032;0.0140426739716;2.56938675664e-09,0.20552238948731513,0.3330631817355935,0.35978812793434295,0.18035724555453309,0.08398692916979124,4,4;0;6,4;0;6;2;5,0.9995850089513605,0.9996543147036102,0.9977278348625646,0.90625,0.996968745769541,0.9956492258453473
h9,hfl,9,0,ResNet10,bank_a,ub,0.5526398992729885,0.7182505256909023,0.8957547483981734,0.9852831914530867,2.418083892059827,1.8094965660527143,4.613122133816985,21.28089582151217,3.90960542907;1.94356601928;1.20649471581;0.670534093419;0.477449109655;0.232604719436;0.175225010624;0.0157854356574;0.0130872980261;2.43213851563e-09,0.20371313555643075,0.33251399721112757,0.36071777004036054,0.17873937558784692,0.07822648252002738,4,4;0;6,4;0;6;2;5,0.9995850089513605,0.9996543147036102,0.9977278348625646,0.90625,0.9968509862281971,0.9953977998561384
h9,hfl,9,0,ResNet10,bank_b,ua,0.5553754237409275,0.7247702329813981,0.8769362033429375,0.9809872416838898,2.4658434813277967,1.800583816371178,4.76837524980885,22.737402522989612,4.05948180486;1.86006960042;1.32645526667;0.778695554899;0.580450560909;0.258884552317;0.166801986863;0.0172889938999;0.0153251977478;3.03666639793e-09,0.22057870907939595,0.3552719144217125,0.3849707679348865,0.19791714133959992,0.10228911344101319,4,4;0;6,4;0;6;5;2,0.9996571942973067,0.9996746324809965,0.9977051613952065,0.875,0.996968745769541,0.9956492258453473
h9,hfl,9,0,ResNet10,bank_b,ub,0.553794461829599,0.7234618682094988,0.8744652214419056,0.9816759151255313,2.4663036559687868,1.8057240888513824,4.772310060532273,22.774943313857545,4.05916284943;1.85447912096;1.36808934195;0.755015909585;0.571745288433;0.252505891999;0.161658101508;0.0178599834365;0.015025749964;2.93381316642e-09,0.21972731497151507,0.35585848927902414,0.3808521981191831,0.19472649179216941,0.09826550318797203,4,4;0;6,4;0;6;5;2,0.9996571942973067,0.9996746324809965,0.9977051613952065,0.875,0.9968509862281971,0.9953977998561384
h9,hfl,9,1,ResNet12,bank_a,ua,0.7245763416461415,0.8469154302104395,0.9155911199511951,0.9828833464494326,1.8945136262030118,1.3801168248562359,5.025629499131257,25.256951862538294,4.62498672998;1.31701882671;1.05218621982;0.769740660365;0.510330686753;0.291121138492;0.220267786978;0.159644904481;0.114547693765;2.66242867038e-09,0.21399832543119812,0.3946398728521608,0.5852307556546431,0.28611871596931593,0.20475056973776687,3,3;7;5,3;7;5;1;0,0.9999328134303493,0.9995480018197005,0.9980848678514211,0.859375,0.9991773514030092,0.9994050231189149
h9,hfl,9,1,ResNet12,bank_a,ub,0.7344146169831596,0.8531444315418342,0.9169379548719689,0.9824296725065496,1.864018038987638,1.361628672515336,4.968954673691225,24.690510549197835,4.58961562519;1.25502775298;1.03131649674;0.743915471474;0.516515216036;0.271555545134;0.22218834911;0.174980536169;0.115343501427;2.46132504507e-09,0.2121002161247863,0.3857892273312165,0.6038647200268952,0.2900538608658947,0.20760505745028243,3,3;7;5,3;7;5;1;0,0.9999328134303493,0.9995480018197005,0.9980848678514211,0.859375,0.9991845284678046,0.9993682040108424
h9,hfl,9,1,ResNet12,bank_b,ua,0.7000958552846488,0.8301316242445574,0.9243689375269097,0.984841272209623,1.9533130154750808,1.428375832323684,5.168024948303529,26.7084818662877,4.70866811665;1.58648528923;1.0371396286;0.734483250365;0.414560177091;0.319867130593;0.265548960476;0.223614245552;0.100855854649;2.82253219135e-09,0.22870970978499713,0.4173200291607453,0.5632067061676951,0.2742988645763884,0.22520120502635343,3,3;7;5,3;7;5;1;2,0.9999540428182991,0.9996611299124533,0.9982487451452773,0.96875,0.9991773514030092,0.9994050231189149
h9,hfl,9,1,ResNet12,bank_b,ub,0.7131165927878319,0.8386633047580814,0.9265325511194945,0.9842652187138234,1.9095830420924975,1.4022952349057456,5.111801858937583,26.130518245037738,4.68131464296;1.51527850418;1.03573314233;0.660182839657;0.429717385866;0.320530229194;0.272308248328;0.198494736134;0.101041514021;2.89286810104e-09,0.2254276560938788,0.4082893475787145,0.579278647859531,0.27681151218449485,0.2276494013087708,3,3;7;1,3;7;1;5;2,0.9999540428182991,0.9996611299124533,0.9982487451452773,0.96875,0.9991845284678046,0.9993682040108424
h9,hfl,9,2,ShuffleNet,bank_a,ua,0.5606973449731383,0.7240673573811125,0.8974477144626134,0.9923710431570969,2.346679949321696,1.783493374747698,4.112501789957428,16.912670972403056,3.4994160909;1.7124032622;1.14699055024;0.538349053564;0.231616155294;0.212638981378;0.131537075093;0.0928047749157;0.0651914778172;2.63535357776e-09,0.14617406465572477,0.26426048394379753,0.2346119500999687,0.1351879709407496,0.08296110478946839,6,6;2;8,6;2;8;0;3,0.9987084014621203,0.9944347037900869,0.9946940872383568,0.953125,0.9774588225718158,0.9855928923350107
h9,hfl,9,2,ShuffleNet,bank_a,ub,0.5635320992241072,0.7265602356965786,0.8999948874209436,0.9916308494847266,2.3483895528993517,1.7745218087400243,4.014117238427665,16.113137203842147,3.42157343406;1.67169863885;1.07498635881;0.566521983604;0.232062194045;0.225786603058;0.126122054459;0.0980353362616;0.0671052809307;2.40959975786e-09,0.13926907402531363,0.2517677688100335,0.2341660261189258,0.136164090287908,0.08615925648934099,6,6;8;2,6;8;2;0;3,0.9987084014621203,0.9944347037900869,0.9946940872383568,0.953125,0.9753997934061708,0.9835526282085104
h9,hfl,9,2,ShuffleNet,bank_b,ua,0.5010070383535999,0.6656848830566237,0.8933542370566082,0.9913400673086552,2.565915866251085,1.9959799432842014,4.31280284123505,18.600268347365137,3.51879488741;2.05784136387;1.1699191594;0.673685310355;0.29294466632;0.196614607441;0.138067390563;0.105650965291;0.0798652599045;2.89698491665e-09,0.16353278307313823,0.2906291929275801,0.2663664374407661,0.14717670208673464,0.08990272279748746,6,6;2;8,6;2;8;0;3,0.9991707852987688,0.9957539887382699,0.9962415061863923,0.9375,0.9774588225718158,0.9855928923350107
h9,hfl,9,2,ShuffleNet,bank_b,ub,0.49639106979914327,0.6596533978720748,0.895324809818116,0.9905619074922506,2.5799170940160314,2.0145406733497837,4.203506859618358,17.669469918858578,3.41404831111;2.04063444157;1.1237471;0.648059787174;0.307479785674;0.19626593605;0.129566719667;0.103064836775;0.0793225061373;2.98559779521e-09,0.15533938289955504,0.2760854674821655,0.26604129995810716,0.14669089162820553,0.08964854214522806,6,6;2;8,6;2;8;0;3,0.9991707852987688,0.9957539887382699,0.9962415061863923,0.9375,0.9753997934061708,0.9835526282085104
h9,hfl,9,3,Mobilenetv2,bank_a,ua,0.7307915069690132,0.8495260161959575,0.936540922208381,0.987196768639321,1.830895426574867,1.3683793400202082,4.3296682287095996,18.74602697069732,3.99064375908;1.27717805139;0.808757804802;0.543605258059;0.352296462568;0.258197795812;0.165925118172;0.129316122776;0.070547974087;2.32810049344e-09,0.17437571802026958,0.29290667141714566,0.4347630803153751,0.22082189784413994,0.16552638682753693,5,5;9;1,5;9;1;4;6,0.9999671494011281,0.9997045280135535,0.9965347617000718,0.890625,0.9949866280607053,0.9946077836544498
h9,hfl,9,3,Mobilenetv2,bank_a,ub,0.7262744609846655,0.8470860759398731,0.9298838958721543,0.9867990167120446,1.857391419296769,1.3768899413630036,4.287001019909026,18.378377744701027,3.94563909727;1.23356783808;0.83539960001;0.590012795187;0.35291588415;0.262499831023;0.174915473866;0.11754822105;0.0688757404612;2.80591351682e-09,0.17043337492938884,0.28716215226095354,0.4303487462634339,0.21737763732675855,0.16051049259012845,5,5;9;1,5;9;1;6;4,0.9999671494011281,0.9997045280135535,0.9965347617000718,0.890625,0.9938778698062615,0.9931255250431537
h9,hfl,9,3,Mobilenetv2,bank_b,ua,0.7357558799914353,0.8531198510895117,0.9238340755712694,0.9887434797185694,1.8174842954652777,1.359146460386129,4.522102599284554,20.449411918456136,4.1768168802;1.20252413902;1.0354263625;0.505224099417;0.291166105293;0.275789200229;0.220874369419;0.132557815369;0.0547245345937;2.57646113052e-09,0.1893886528209068,0.31952206122587684,0.3712416459710514,0.19821234813368466,0.15757999245095616,5,5;1;9,5;1;9;4;0,0.9998741060126531,0.9993268810474474,0.9970052190900084,0.96875,0.9949866280607053,0.9946077836544498
h9,hfl,9,3,Mobilenetv2,bank_b,ub,0.727612718804292,0.848089330370338,0.9225114360979892,0.9882854038024903,1.8495021511531606,1.374357503868206,4.460504422992614,19.896099707536678,4.1077572808;1.21684412971;1.00135813696;0.553106952732;0.298121363865;0.279116857672;0.224799807296;0.115108097176;0.050073733161;2.80868788735e-09,0.1826536711128356,0.3108765579302605,0.3613366983590039,0.1910528193872113,0.14871951743637116,5,5;1;9,5;1;9;4;0,0.9998741060126531,0.9993268810474474,0.9970052190900084,0.96875,0.9938778698062615,0.9931255250431537
l0,local,0,0,ResNet10,bank_a,ua,0.45815402106675335,0.6393009740185667,0.8338873023895959,0.9743876812301704,2.9680110609517665,2.1826721015553776,2.538812938630934,6.44557113735984,2.02994086274;1.11991964974;0.792214158973;0.527258867129;0.279610376822;0.2341760293;0.177360266585;0.0188917367321;0.015877191748;2.62708964543e-09,0.050559263310581644,0.10071204902124749,0.1611116216521536,0.12613751352593314,0.03425926780385803,0,0;9;1,0;9;1;8;4,0.9904336890347684,0.9984042830596567,0.9851283997395236,0.828125,0.9628367188909404,0.9894601208032043
l0,local,0,0,ResNet10,bank_a,ub,0.43300191924554715,0.6115336118082831,0.8275383786618484,0.977784926958908,3.071318396169283,2.3094585856341427,2.5356041323190697,6.429288315833546,1.98285801437;1.17845531256;0.786522034098;0.589373792545;0.270433603071;0.21443868793;0.151995302537;0.0180547826133;0.0167414998707;3.0532268607e-09,0.04949219281875107,0.1004576299348991,0.1550420226392748,0.1261029568730864,0.039940739258313956,0,0;9;1,0;9;1;8;4,0.9904336890347684,0.9984042830596567,0.9851283997395236,0.828125,0.959694723094446,0.9916142418964025
l0,local,0,0,ResNet10,bank_b,ua,0.4979178780915695,0.6800215233065855,0.8359823714596745,0.9763191425851369,2.8042365545443766,2.008363314510444,2.7757768842712354,7.704937311254527,2.28900048217;1.09620643951;0.850238349646;0.598649123257;0.271680618462;0.264628026284;0.194473791157;0.0208622846798;0.0191280094513;2.52852620078e-09,0.0607583724006899,0.12038964548835199,0.15920636373759714,0.12754638638781834,0.032153983156901864,9,9;8;1,9;8;1;0;4,0.9916084398355163,0.9973446703200869,0.9863056736164759,0.84375,0.9628367188909404,0.9894601208032043
l0,local,0,0,ResNet10,bank_b,ub,0.45485849178208765,0.6404423719641892,0.8109023787487133,0.9780275823093577,3.005518130478772,2.198485942473904,2.7138532377480664,7.364999396035666,2.17183279345;1.12046322877;0.903912219291;0.643288211538;0.267909471159;0.230532077177;0.19028769298;0.0200016321308;0.0172292857661;2.70940155856e-09,0.05749096870071212,0.11507811556305726,0.14880767047076113,0.12486153232037818,0.040281233049849735,9,9;8;1,9;8;1;4;0,0.9916084398355163,0.9973446703200869,0.9863056736164759,0.84375,0.959694723094446,0.9916142418964025
l0,local,0,1,ResNet12,bank_a,ua,0.3053076813905618,0.47429107767015033,0.710708713643829,0.9200738852142218,4.420390307987665,3.275384344874981,2.2596541434585116,5.106036848049218,1.55619655548;1.09870704048;0.806955871443;0.646412022073;0.376759381182;0.30694231176;0.26451794473;0.233142198888;0.218218801144;2.08278752821e-09,0.03644960511161281,0.07978182575076907,0.13243036082157955,0.15559700200287715,0.03678224691234307,9,9;3;5,9;3;5;8;4,0.993780153854839,0.9992515107916422,0.9818804034252492,0.765625,0.9418703175432059,0.9867570184748329
l0,local,0,1,ResNet12,bank_a,ub,0.31334059878078935,0.48531616880560674,0.721006270665149,0.9234810434639096,4.341379102556955,3.1914153604346716,2.3020282721802485,5.299334165917181,1.60369964601;1.1175869583;0.785098942752;0.675722673379;0.346429551278;0.318104851907;0.28170654041;0.251938580706;0.203626536943;2.86829470497e-09,0.03674553247865706,0.08280209634245597,0.13198892306411483,0.15994706391892308,0.03643197704846372,9,9;3;5,9;3;5;8;4,0.993780153854839,0.9992515107916422,0.9818804034252492,0.765625,0.9339701599320305,0.9890769647842005
