arm,system,gamma,client,model,bank,carrier_half,class_index,positive_routing_energy,total_routing_norm_sq,positive_profile_share,total_profile_share,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,probe_top_class_count,probe_top_class_fraction,mean_margin_when_top
l0,local,0,3,Mobilenetv2,bank_a,ub,3,0.004416237601836258,0.0045397945111924414,0.10262877719377633,0.051701023018245106,0.9938633951239954,0.9445176055489282,2,0.03125,0.00639015260918472
l0,local,0,3,Mobilenetv2,bank_a,ub,4,0.00909905046554326,0.009276653264928192,0.21145248673098674,0.10564629363727611,0.9938633951239954,0.9445176055489282,14,0.21875,0.020115680609285164
l0,local,0,3,Mobilenetv2,bank_a,ub,5,0.0010978482974766007,0.0072572679361432284,0.025512854713126067,0.08264871365676846,0.9938633951239954,0.9445176055489282,3,0.046875,0.028358748596933613
l0,local,0,3,Mobilenetv2,bank_a,ub,6,0.007714705349400496,0.009924949764046998,0.17928174337586603,0.11302935737308059,0.9938633951239954,0.9445176055489282,14,0.21875,0.024233629411916084
l0,local,0,3,Mobilenetv2,bank_a,ub,7,0.006868402735195257,0.007296201683882036,0.1596145492023311,0.08309210698284697,0.9938633951239954,0.9445176055489282,15,0.234375,0.017067053670533787
l0,local,0,3,Mobilenetv2,bank_a,ub,8,0.0037679143526324604,0.013161680481633976,0.08756241793257719,0.14989056087497005,0.9938633951239954,0.9445176055489282,2,0.03125,0.0056545182225472106
l0,local,0,3,Mobilenetv2,bank_a,ub,9,0.0004175149511640904,0.0049629448895113885,0.009702614026082596,0.056520031322632135,0.9938633951239954,0.9445176055489282,0,0.0,0.0
l0,local,0,3,Mobilenetv2,bank_b,ua,0,0.006990851017695007,0.015939782311797473,0.14495389529906255,0.17224504063071663,0.9944330559883648,0.9415882832637124,9,0.140625,0.068224265754586
l0,local,0,3,Mobilenetv2,bank_b,ua,1,0.0003739762978693751,0.007623539884758684,0.007754323613602352,0.0823798538470801,0.9944330559883648,0.9415882832637124,1,0.015625,0.015943072155367305
l0,local,0,3,Mobilenetv2,bank_b,ua,2,8.33608409665725e-05,0.006726281057794442,0.0017284703368624305,0.07268408886838654,0.9944330559883648,0.9415882832637124,0,0.0,0.0
l0,local,0,3,Mobilenetv2,bank_b,ua,3,0.004855102320421717,0.0049639281212975166,0.10066957393875171,0.053640130349084485,0.9944330559883648,0.9415882832637124,2,0.03125,0.016096584577942948
l0,local,0,3,Mobilenetv2,bank_b,ua,4,0.011382665319366925,0.011509985510307004,0.23601728498453994,0.12437672504563996,0.9944330559883648,0.9415882832637124,18,0.28125,0.0382703184267987
l0,local,0,3,Mobilenetv2,bank_b,ua,5,0.001571844096080155,0.008109110481002716,0.032591872427682834,0.08762692218484733,0.9944330559883648,0.9415882832637124,4,0.0625,0.03880470768120825
l0,local,0,3,Mobilenetv2,bank_b,ua,6,0.011277286112619342,0.012490667577197783,0.23383226824438577,0.1349739602621082,0.9944330559883648,0.9415882832637124,12,0.1875,0.06986521539135226
l0,local,0,3,Mobilenetv2,bank_b,ua,7,0.008415573030177712,0.00869081465324482,0.1744952207979115,0.09391280845499675,0.9944330559883648,0.9415882832637124,15,0.234375,0.029164850876984613
l0,local,0,3,Mobilenetv2,bank_b,ua,8,0.0016961227567262737,0.011142107087609078,0.035168765558091,0.12040143651124952,0.9944330559883648,0.9415882832637124,0,0.0,0.0
