arm,system,gamma,client,model,bank,carrier_half,mean_centered_response_energy,mean_raw_output_delta_energy,mean_abs_output_norm_change,mean_signed_output_norm_change,nonselective_response_magnitude,common_mode_magnitude,mean_coherent_centered_norm
h9,hfl,9,0,ResNet10,bank_a,ub,52.40075773590129,47.8433079062752,3.4077754272081804,1.2040151323788872,5.297148785422047,0.6649641078685178,3.8536557070160287
h9,hfl,9,0,ResNet10,bank_b,ua,58.35913648022413,50.08637254271182,3.846817529632477,1.0698222970820848,6.074933640753101,0.7541928184362885,4.250349991861848
h9,hfl,9,0,ResNet10,bank_b,ub,57.857044059815884,49.05229003757895,3.756091987760966,1.0181969855955675,6.034421131559211,0.7367253349805104,4.238813567473563
h9,hfl,9,1,ResNet12,bank_a,ua,19.528325591107173,10.862428213486504,0.7994694222829015,0.11873342394642904,3.255865288859416,0.10559516898721921,2.5096707593252283
h9,hfl,9,1,ResNet12,bank_a,ub,19.29004977088792,10.762724432164728,0.8169499526579576,0.13116048004313227,3.2459243975092558,0.10977902446031802,2.480364882154035
h9,hfl,9,1,ResNet12,bank_b,ua,22.273501126613933,12.976474325806544,0.9240404554146425,0.04315376528215469,3.740490344458337,0.12212212299762759,2.793053816725669
h9,hfl,9,1,ResNet12,bank_b,ub,21.874917575254287,12.815105451205374,0.9397327765042064,0.05266679386838409,3.718010142602022,0.12655335466519466,2.7471328834960396
h9,hfl,9,2,ShuffleNet,bank_a,ua,11.784354847711315,7.761236954829414,0.5883476540608507,-0.2968396454690873,2.537745422427873,0.04729585017187347,1.6278041850388645
h9,hfl,9,2,ShuffleNet,bank_a,ub,11.6061716805582,7.592205616722996,0.5772429137852845,-0.2965981907121996,2.5230448492272086,0.0477539521579689,1.57899903006451
h9,hfl,9,2,ShuffleNet,bank_b,ua,13.830376928624606,8.910934642215253,0.7095031839892936,-0.3836185835429667,2.9836433013910426,0.04945093349581585,1.8897296966443937
h9,hfl,9,2,ShuffleNet,bank_b,ub,13.544545707063309,8.67135081226664,0.7039263186271453,-0.3888335941154017,2.958153765532235,0.050170959879196016,1.8199786095519377
h9,hfl,9,3,Mobilenetv2,bank_a,ua,12.702931920037035,7.943384434428035,0.6328579023951413,0.03328353551083918,2.6227966606237922,0.08759728948648192,1.7680948574548738
h9,hfl,9,3,Mobilenetv2,bank_a,ub,13.077394877328523,8.1484270430612,0.6475628710919301,0.0007105737267694821,2.66028175146091,0.08774794127902787,1.7704594477849895
h9,hfl,9,3,Mobilenetv2,bank_b,ua,14.821595870923321,9.516476520915758,0.7895259641304408,-0.06061028862602658,3.064045350854485,0.11016798615331427,2.0231936698813575
h9,hfl,9,3,Mobilenetv2,bank_b,ub,15.451027733708909,9.896557321510153,0.7929923899450824,-0.11074231531257848,3.1187818417684348,0.10820003983092027,2.033744185714883
l0,local,0,0,ResNet10,bank_a,ua,18.213144630916993,18.772473462789993,2.280723962798572,-0.6155848739384396,2.932678212793619,0.4421485365987988,1.154736813887952
l0,local,0,0,ResNet10,bank_a,ub,16.45905857556608,16.740634929539272,2.1747049969293317,-0.4770683095783542,2.821750993249426,0.42081051677838843,1.105007496012064
l0,local,0,0,ResNet10,bank_b,ua,22.416078206918996,22.24784884357832,2.7145229190110785,-0.8101090711129727,3.549948685390642,0.5253637494707102,1.449186435461189
l0,local,0,0,ResNet10,bank_b,ub,20.67525278117137,20.245543737644496,2.616083467000758,-0.636524921453682,3.447185870336489,0.5040792503362289,1.361299218119127
l0,local,0,1,ResNet12,bank_a,ua,12.322790079310607,10.216466004492268,1.3908742223124415,-0.05000949879085819,2.465853573984472,0.23735538036347714,0.8327047662151179
l0,local,0,1,ResNet12,bank_a,ub,11.612664426114646,10.099068548549633,1.3992324762245039,0.0015972265931029242,2.4547821556256486,0.23662058290158164,0.823240456754839
l0,local,0,1,ResNet12,bank_b,ua,14.690288355089917,12.220915296858019,1.6672630267836261,-0.19397175455539173,2.9239171070247125,0.2835671028413984,0.8934750899839197
l0,local,0,1,ResNet12,bank_b,ub,14.042967578818871,12.17139560093498,1.664694993938163,-0.13376209030842875,2.914427087056989,0.2813027042495611,0.8816877435722753
l0,local,0,2,ShuffleNet,bank_a,ua,10.877295696041633,9.238416511452517,1.068577119454337,-0.3170657040426106,2.391083686203313,0.1821537288383086,0.8580786408121411
l0,local,0,2,ShuffleNet,bank_a,ub,11.13674908415637,9.39605299377564,1.0879905199018969,-0.39832430037882965,2.4199396013544985,0.1879803634195559,0.8453651498052894
l0,local,0,2,ShuffleNet,bank_b,ua,12.984734169531118,11.095252942994142,1.3073814604587246,-0.4929893251970444,2.8410048421684597,0.22174488776366924,0.9725232266492922
l0,local,0,2,ShuffleNet,bank_b,ub,13.621916117076175,11.62984461742946,1.3519256712042753,-0.6040630437592615,2.885768184475765,0.23178790740234548,0.9784952688491405
l0,local,0,3,Mobilenetv2,bank_a,ua,9.940763380875053,7.7230651768469425,0.8693586039873945,-0.5212820273580059,2.210668581527279,0.12497790959550474,0.8271343893226615
l0,local,0,3,Mobilenetv2,bank_a,ub,9.876846123395493,7.791510674359388,0.8827151257315383,-0.5515631364906795,2.2034124250591476,0.1275988742983609,0.8136450046407052
l0,local,0,3,Mobilenetv2,bank_b,ua,11.697148914520152,9.000723794113412,1.0039386528799892,-0.5685164809501353,2.60922582018402,0.1488463736725986,0.9451928919130272
l0,local,0,3,Mobilenetv2,bank_b,ub,11.947890844824245,9.320509609453348,1.0341560792249116,-0.6157566637767884,2.625688040461649,0.15344382778366417,0.9568123461415994
l9,local,9,0,ResNet10,bank_a,ua,52.72433010575215,48.597798362011176,3.4738782760899363,1.237126626830995,5.313235062802949,0.6780095677492705,3.8586729932687476
l9,local,9,0,ResNet10,bank_a,ub,52.40075773590129,47.8433079062752,3.4077754272081804,1.2040151323788872,5.297148785422047,0.6649641078685178,3.8536557070160287
l9,local,9,0,ResNet10,bank_b,ua,58.35913648022413,50.08637254271182,3.846817529632477,1.0698222970820848,6.074933640753101,0.7541928184362885,4.250349991861848
l9,local,9,0,ResNet10,bank_b,ub,57.857044059815884,49.05229003757895,3.756091987760966,1.0181969855955675,6.034421131559211,0.7367253349805104,4.238813567473563
l9,local,9,1,ResNet12,bank_a,ua,28.03922720815824,19.795118305424445,1.9282131388426924,0.8890776905863592,3.9716937536622954,0.3254480369143886,2.883066216354142
l9,local,9,1,ResNet12,bank_a,ub,27.30759514551689,19.55538790119858,1.9094605085091132,0.9662856997242695,3.9234965957286527,0.3238351225428516,2.8422074835915043
l9,local,9,1,ResNet12,bank_b,ua,30.042956784321927,21.853287479603477,2.0934303933231213,0.5685927156868769,4.43933859388123,0.35173366720924387,3.0560106935026345
l9,local,9,1,ResNet12,bank_b,ub,29.180670492633006,21.456990608605928,2.057180967101244,0.6298369774550784,4.37869338278398,0.34653478056099846,3.007197680026146
l9,local,9,2,ShuffleNet,bank_a,ua,24.452458835504665,22.188291137026827,1.6362180714159429,-0.7040596500815839,3.7316711697083536,0.3193553254875383,2.409348572743121
l9,local,9,2,ShuffleNet,bank_a,ub,24.717000426409584,22.765886393684255,1.6629246730042624,-0.7321619140576765,3.724520479503938,0.32656680474913,2.36978910355069
l9,local,9,2,ShuffleNet,bank_b,ua,28.55798659143683,25.580003399783294,1.8893623997165643,-0.760336091045396,4.345527050175722,0.36424655692263475,2.727575595472633
