arm,client,model,bound_class,binding_family,output_class,mean_centered_logit_response
h0,2,ShuffleNet,1,3,1,-0.07434001145330746
h0,2,ShuffleNet,1,3,2,0.02191480072936241
h0,2,ShuffleNet,1,3,3,0.05784293737741612
h0,2,ShuffleNet,1,3,4,0.06484181053600338
h0,2,ShuffleNet,1,3,5,0.12728602258493227
h0,2,ShuffleNet,1,3,6,0.11278486345620371
h0,2,ShuffleNet,1,3,7,0.05079853647427759
h0,2,ShuffleNet,1,3,8,-0.09312562536625912
h0,2,ShuffleNet,1,3,9,-0.006774235235595633
h0,2,ShuffleNet,2,0,0,-0.1097742097883365
h0,2,ShuffleNet,2,0,1,-0.02980947174899009
h0,2,ShuffleNet,2,0,2,-0.0213124107287282
h0,2,ShuffleNet,2,0,3,-0.05825338969797361
h0,2,ShuffleNet,2,0,4,0.10460906497262998
h0,2,ShuffleNet,2,0,5,0.07675189366204702
h0,2,ShuffleNet,2,0,6,0.20108626107565428
h0,2,ShuffleNet,2,0,7,-0.05665158007845432
h0,2,ShuffleNet,2,0,8,-0.02372523086384394
h0,2,ShuffleNet,2,0,9,-0.08292092680400395
h0,2,ShuffleNet,3,1,0,-0.06905872628035403
h0,2,ShuffleNet,3,1,1,-0.03057336277809076
h0,2,ShuffleNet,3,1,2,0.014966587331045913
h0,2,ShuffleNet,3,1,3,0.01903687154962795
h0,2,ShuffleNet,3,1,4,0.02143842821090482
h0,2,ShuffleNet,3,1,5,0.06165757482411119
h0,2,ShuffleNet,3,1,6,-0.05364708883229755
h0,2,ShuffleNet,3,1,7,0.07536492782305655
h0,2,ShuffleNet,3,1,8,-0.005838559284027442
h0,2,ShuffleNet,3,1,9,-0.03334665256397673
h0,2,ShuffleNet,4,2,0,-0.04439909334602374
h0,2,ShuffleNet,4,2,1,-0.11655205083540131
h0,2,ShuffleNet,4,2,2,-0.031264656509440644
h0,2,ShuffleNet,4,2,3,0.013017934290814525
h0,2,ShuffleNet,4,2,4,0.04760105217669877
h0,2,ShuffleNet,4,2,5,0.04001586268390946
h0,2,ShuffleNet,4,2,6,0.12113631621048802
h0,2,ShuffleNet,4,2,7,-0.06978279887717355
h0,2,ShuffleNet,4,2,8,0.09564511847785677
h0,2,ShuffleNet,4,2,9,-0.05541768427172843
h0,2,ShuffleNet,5,3,0,-0.2612290991030332
h0,2,ShuffleNet,5,3,1,-0.07434001145330746
h0,2,ShuffleNet,5,3,2,0.02191480072936241
h0,2,ShuffleNet,5,3,3,0.05784293737741612
h0,2,ShuffleNet,5,3,4,0.06484181053600338
h0,2,ShuffleNet,5,3,5,0.12728602258493227
h0,2,ShuffleNet,5,3,6,0.11278486345620371
h0,2,ShuffleNet,5,3,7,0.05079853647427759
h0,2,ShuffleNet,5,3,8,-0.09312562536625912
h0,2,ShuffleNet,5,3,9,-0.006774235235595633
h0,2,ShuffleNet,6,0,0,-0.1097742097883365
h0,2,ShuffleNet,6,0,1,-0.02980947174899009
h0,2,ShuffleNet,6,0,2,-0.0213124107287282
h0,2,ShuffleNet,6,0,3,-0.05825338969797361
h0,2,ShuffleNet,6,0,4,0.10460906497262998
h0,2,ShuffleNet,6,0,5,0.07675189366204702
h0,2,ShuffleNet,6,0,6,0.20108626107565428
h0,2,ShuffleNet,6,0,7,-0.05665158007845432
h0,2,ShuffleNet,6,0,8,-0.02372523086384394
h0,2,ShuffleNet,6,0,9,-0.08292092680400395
h0,2,ShuffleNet,7,1,0,-0.06905872628035403
h0,2,ShuffleNet,7,1,1,-0.03057336277809076
h0,2,ShuffleNet,7,1,2,0.014966587331045913
h0,2,ShuffleNet,7,1,3,0.01903687154962795
h0,2,ShuffleNet,7,1,4,0.02143842821090482
h0,2,ShuffleNet,7,1,5,0.06165757482411119
h0,2,ShuffleNet,7,1,6,-0.05364708883229755
h0,2,ShuffleNet,7,1,7,0.07536492782305655
h0,2,ShuffleNet,7,1,8,-0.005838559284027442
h0,2,ShuffleNet,7,1,9,-0.03334665256397673
h0,2,ShuffleNet,8,2,0,-0.04439909334602374
h0,2,ShuffleNet,8,2,1,-0.11655205083540131
h0,2,ShuffleNet,8,2,2,-0.031264656509440644
h0,2,ShuffleNet,8,2,3,0.013017934290814525
h0,2,ShuffleNet,8,2,4,0.04760105217669877
h0,2,ShuffleNet,8,2,5,0.04001586268390946
h0,2,ShuffleNet,8,2,6,0.12113631621048802
h0,2,ShuffleNet,8,2,7,-0.06978279887717355
h0,2,ShuffleNet,8,2,8,0.09564511847785677
h0,2,ShuffleNet,8,2,9,-0.05541768427172843
h0,2,ShuffleNet,9,3,0,-0.2612290991030332
h0,2,ShuffleNet,9,3,1,-0.07434001145330746
h0,2,ShuffleNet,9,3,2,0.02191480072936241
h0,2,ShuffleNet,9,3,3,0.05784293737741612
