arm,client,model,class,binding_family,generic_strength,harmful_positive_strength,harmful_diagonal_signed,valid_instance_support,generic_rank,harmful_rank,target_maps_new_class_from_old_class
h9,1,ResNet12,9,2,0.002311965619027417,0.21156284909395937,0.17463023558974616,2800,7,8,5
h9,2,ShuffleNet,0,2,0.012698003613956892,0.5701008356484655,0.5483664064424951,2800,3,3,9
h9,2,ShuffleNet,1,3,0.0029199580942022036,0.4361610239036684,0.3986334096549532,2800,7,6,8
h9,2,ShuffleNet,2,0,0.030455867319085988,0.716018213536272,0.7071533757267372,3200,1,2,4
h9,2,ShuffleNet,3,1,0.007826908376163726,0.5130728968733691,0.4747641357091763,3200,4,5,7
h9,2,ShuffleNet,4,2,0.001595702317938797,0.08462448166131407,0.04352212694375937,2800,8,9,2
h9,2,ShuffleNet,5,3,0.00033813330725828333,0.1420912564977106,0.0881264419180133,2800,9,8,6
h9,2,ShuffleNet,6,0,0.054698678915920076,0.8912301453946015,0.8853148687679717,3200,0,0,5
h9,2,ShuffleNet,7,1,0.003395291153689997,0.5313315111125249,0.4997224296758814,3200,5,4,3
h9,2,ShuffleNet,8,2,0.02893512439528523,0.7606597874069394,0.7508599574709965,2800,2,1,1
h9,2,ShuffleNet,9,3,0.0033103971622235875,0.37342750850043194,0.33383393396657546,2800,6,7,0
h9,3,Mobilenetv2,0,3,0.004402025605212368,0.5862898911174605,0.5113906799536577,2800,5,4,6
h9,3,Mobilenetv2,1,0,0.017396942573889393,1.3376901563985812,1.325180391858899,2800,2,1,3
h9,3,Mobilenetv2,2,1,0.001593670837792586,0.31260109679931214,0.2768998927791008,3200,8,7,9
h9,3,Mobilenetv2,3,2,0.0017036136030340323,0.12930021292498461,0.08496623387636779,3200,7,9,1
h9,3,Mobilenetv2,4,3,0.006788366051199731,0.5404757076637297,0.5240141326756437,2800,3,5,8
h9,3,Mobilenetv2,5,0,0.11130768647849293,1.89073327180233,1.8904027485747756,2800,0,0,7
h9,3,Mobilenetv2,6,1,0.0066896441560246435,0.3305554571758802,0.2927975587403241,3200,4,6,0
h9,3,Mobilenetv2,7,2,0.001390797002418168,0.13641600606135657,0.11504415249648253,3200,9,8,5
h9,3,Mobilenetv2,8,3,0.003087509419963327,0.6340886414516709,0.5857149019258079,2800,6,3,4
h9,3,Mobilenetv2,9,0,0.020015462292242398,1.324159097091349,1.3215751968215548,2800,1,2,2
l0,0,ResNet10,0,0,0.010428162868484062,0.06621791605958322,-0.40475609024788195,2800,0,8,5
l0,0,ResNet10,1,1,0.00918629916405018,0.3450109548811474,-0.11357654993878999,2800,2,2,3
l0,0,ResNet10,2,2,0.0013319626860705668,0.045639825738403916,-0.18280626015523352,3200,6,9,8
l0,0,ResNet10,3,3,0.0010682142032574847,0.15278176502633148,-0.011296799605209852,3200,7,5,1
l0,0,ResNet10,4,0,0.0044195710971613724,0.21188190478106914,-0.13247580976345721,2800,4,4,6
l0,0,ResNet10,5,1,0.0007478802478935148,0.3147735887572215,0.10601400496536811,2800,9,3,0
l0,0,ResNet10,6,2,0.00309896054888498,0.07534056812219339,-0.29313507753365736,3200,5,7,4
l0,0,ResNet10,7,3,0.0010648364415696897,0.11745430682504203,-0.23354298726678263,3200,8,6,9
l0,0,ResNet10,8,0,0.009168697012268317,0.8169766317698693,0.7279748653066622,2800,3,0,2
l0,0,ResNet10,9,1,0.010044679040941478,0.3507617034126538,-0.1063026514239542,2800,1,1,7
l0,1,ResNet12,0,1,0.0021649763809954013,0.23457050379782288,0.013154445403212962,2800,6,3,8
l0,1,ResNet12,1,2,0.0012970142462423093,0.16069697471426017,0.033789342903163294,2800,9,5,9
l0,1,ResNet12,2,3,0.0017370357138195534,0.1260299618720536,-0.12266783897187793,3200,7,8,5
l0,1,ResNet12,3,0,0.0067122198396539585,0.14512644690735352,-0.06581522279790358,3200,1,7,7
l0,1,ResNet12,4,1,0.0036195304429801458,0.32040615654554067,0.2384521175721935,2800,4,2,6
l0,1,ResNet12,5,2,0.005363660427081623,0.08033257137516457,-0.1439827369862348,2800,2,9,2
l0,1,ResNet12,6,3,0.002665671305857471,0.5578673526002592,0.41910969260576236,3200,5,1,4
l0,1,ResNet12,7,0,0.0016832660714033874,0.15031037339097306,-0.05109892458833583,3200,8,6,3
l0,1,ResNet12,8,1,0.003745146785280604,0.22414214021143625,-0.0042197484595628875,2800,3,4,0
l0,1,ResNet12,9,2,0.007461083898298363,0.6163101585320949,0.5456684640811532,2800,0,0,1
l0,2,ShuffleNet,0,2,0.005577195715210735,0.1194250157305177,-0.02402084038414896,2800,3,7,2
l0,2,ShuffleNet,1,3,0.00031144650840709615,0.11286529422418848,-0.11931921339005752,2800,8,8,8
l0,2,ShuffleNet,2,0,0.0013077658061363654,0.2506386527033808,0.05508222686511362,3200,6,4,0
l0,2,ShuffleNet,3,1,0.0036305395399031603,0.18391636199814088,0.00015383883187308398,3200,4,5,5
l0,2,ShuffleNet,4,2,0.016453730972986004,0.554051761677665,0.4845894219415946,2800,0,0,9
l0,2,ShuffleNet,5,3,0.0017221941200940053,0.43831380906078543,0.21814617368887065,2800,5,2,3
l0,2,ShuffleNet,6,0,0.009079805159110261,0.465409351690397,0.38263824496805277,3200,2,1,7
l0,2,ShuffleNet,7,1,0.0008669481991548387,0.25925178115393854,0.0784902274516476,3200,7,3,6
