client,model,operator,family,split,bound_classes,fit_support,pew_family_accuracy,pew_unknown_rate,base_grid_acc,plugin_grid_acc,grid_acc_delta,base_dsa,plugin_dsa,dsa_reduction
1,ResNet12,impulse_noise,noise,unseen,,0,nan,nan,23.200000000000003,30.2,6.9999999999999964,nan,nan,nan
1,ResNet12,defocus_blur,blur,seen,0,1272,74.05660377358491,2.8301886792452833,23.9,29.099999999999998,5.199999999999999,0.03126215812825923,0.012806072129631446,0.01845608599862778
1,ResNet12,glass_blur,blur,seen,2,2393,73.54784788967822,3.0087755954868367,24.099999999999998,29.4,5.300000000000001,0.028393774994811605,-0.003829100405693882,0.03222287540050549
1,ResNet12,motion_blur,blur,seen,6,77,89.6103896103896,1.2987012987012987,22.7,28.199999999999996,5.4999999999999964,-0.0017068593083067324,-0.00013977753277036493,-0.0015670817755363674
1,ResNet12,zoom_blur,blur,unseen,,0,nan,nan,23.400000000000002,29.7,6.299999999999997,nan,nan,nan
1,ResNet12,snow,weather,seen,9,82,85.36585365853658,8.536585365853659,22.2,30.8,8.600000000000001,0.0014528768319042496,-0.0009239779517843595,0.002376854783688609
1,ResNet12,frost,weather,seen,3,2234,64.14503133393016,8.146821844225604,20.9,29.099999999999998,8.2,0.10145847185645142,0.015166573305447984,0.08629189855100343
1,ResNet12,fog,weather,unseen,,0,nan,nan,20.1,27.900000000000002,7.800000000000001,nan,nan,nan
1,ResNet12,brightness,digital,seen,8,895,34.30167597765363,0.22346368715083798,21.7,23.400000000000002,1.7000000000000028,0.11480614381122574,0.05221445403157896,0.06259168977964677
1,ResNet12,contrast,digital,seen,5,324,39.81481481481482,4.320987654320987,20.7,22.2,1.5,0.02124359455361541,0.12314555109085862,-0.10190195653724321
1,ResNet12,elastic_transform,digital,seen,7,459,1.7429193899782136,0.8714596949891068,23.400000000000002,29.599999999999998,6.199999999999996,0.0018075308895929504,0.008705910029155868,-0.006898379139562917
1,ResNet12,pixelate,digital,unseen,,0,nan,nan,23.1,28.9,5.799999999999997,nan,nan,nan
1,ResNet12,jpeg_compression,digital,seen,1,334,0.8982035928143712,0.0,23.400000000000002,29.9,6.4999999999999964,0.0048846603747427705,0.019511433840500164,-0.014626773465757394
2,ShuffleNet,gaussian_noise,noise,seen,3,789,84.28390367553865,14.82889733840304,10.9,16.7,5.799999999999999,0.6643370000697074,0.1170018142007295,0.5473351858689779
2,ShuffleNet,shot_noise,noise,seen,6,194,91.23711340206185,8.762886597938143,10.0,16.1,6.100000000000001,-0.0501481479153392,0.04586990400914579,-0.09601805192448498
2,ShuffleNet,impulse_noise,noise,unseen,,0,nan,nan,18.4,14.399999999999999,-4.0,nan,nan,nan
2,ShuffleNet,defocus_blur,blur,seen,5,83,71.08433734939759,3.614457831325301,25.7,16.400000000000002,-9.299999999999997,0.006117347672982476,-0.0015066715283543121,0.007624019201336788
2,ShuffleNet,glass_blur,blur,seen,,81,67.90123456790124,1.2345679012345678,26.3,16.400000000000002,-9.899999999999999,nan,nan,nan
2,ShuffleNet,motion_blur,blur,seen,1,1485,82.76094276094275,0.9427609427609427,23.400000000000002,16.8,-6.600000000000001,0.16450271193494292,-0.005115147495937038,0.16961785943087995
2,ShuffleNet,zoom_blur,blur,unseen,,0,nan,nan,26.3,16.8,-9.5,nan,nan,nan
2,ShuffleNet,snow,weather,seen,0,795,85.28301886792453,6.037735849056604,12.1,12.2,0.09999999999999964,0.3733947354366607,0.2685514902770344,0.10484324515962629
2,ShuffleNet,frost,weather,seen,7,1185,68.86075949367088,3.0379746835443036,21.3,14.899999999999999,-6.400000000000002,0.25259304167229213,0.11465642691081267,0.13793661476147945
2,ShuffleNet,fog,weather,unseen,,0,nan,nan,20.7,13.700000000000001,-6.999999999999998,nan,nan,nan
2,ShuffleNet,brightness,digital,seen,8,2073,35.648818137964305,0.3859141341051616,18.5,15.5,-3.0,0.2401483729235264,0.03398551243861134,0.20616286048491506
