client,model,class_id,class_name,fit_support,fit_fraction,pew_family_accuracy,pew_unknown_rate,ber_effective_groups,ber_multiplier_max,base_grid_acc,plugin_grid_acc,grid_acc_delta,base_prediction_share,plugin_prediction_share,prediction_share_delta
1,ResNet12,4,deer,296,3.4823529411764707,66.8918918918919,27.364864864864863,5.036076377170147,30.85842742059413,2.533333333333333,6.933333333333333,4.3999999999999995,0.9866666666666666,1.4133333333333333,0.42666666666666675
1,ResNet12,5,dog,252,2.9647058823529413,39.285714285714285,4.365079365079365,5.3140752496644525,22.05733396437066,0.0,3.8666666666666667,3.8666666666666667,0.0,4.026666666666666,4.026666666666666
1,ResNet12,6,frog,4,0.047058823529411764,75.0,0.0,1.0,314.8148148148148,0.0,0.0,0.0,0.0,0.0,0.0
1,ResNet12,7,horse,412,4.847058823529412,7.038834951456311,1.2135922330097086,5.155019919077294,18.510389328128788,0.0,39.266666666666666,39.266666666666666,0.0,15.766666666666667,15.766666666666667
1,ResNet12,8,ship,916,10.776470588235295,38.209606986899566,0.43668122270742354,5.493505419202943,17.150709811596503,25.4,28.666666666666668,3.2666666666666693,6.58,5.806666666666667,-0.7733333333333334
1,ResNet12,9,truck,0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
2,ShuffleNet,0,airplane,787,9.259912930933051,83.35451080050827,6.099110546378653,5.518562069723563,19.461127436320268,32.666666666666664,62.26666666666667,29.60000000000001,12.22,24.759999999999998,12.539999999999997
2,ShuffleNet,1,automobile,1578,18.566890222379104,79.97465145754119,0.9505703422053232,5.868236446015888,9.245550626185027,36.13333333333333,0.0,-36.13333333333333,14.826666666666666,0.0,-14.826666666666666
2,ShuffleNet,2,bird,32,0.37651488410401224,9.375,3.125,3.367544416561231,73.52335749645451,0.0,6.266666666666667,6.266666666666667,0.0,9.126666666666667,9.126666666666667
2,ShuffleNet,3,cat,791,9.306977291446053,81.16308470290771,14.538558786346398,5.44059135743936,23.710548763286308,14.6,12.0,-2.5999999999999996,13.726666666666668,7.720000000000001,-6.006666666666668
2,ShuffleNet,4,deer,2,0.023532180256500765,50.0,0.0,nan,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.84,0.84
2,ShuffleNet,5,dog,1,0.011766090128250382,100.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ShuffleNet,6,frog,122,1.4354629956465466,86.88524590163934,12.295081967213115,3.161291705336003,58.03535210802573,0.0,1.3333333333333335,1.3333333333333335,0.0,0.5466666666666666,0.5466666666666666
2,ShuffleNet,7,horse,1211,14.248735145311214,68.78612716763006,3.05532617671346,5.962549593553477,7.197431969314964,54.400000000000006,75.6,21.19999999999999,37.34,57.006666666666675,19.66666666666667
2,ShuffleNet,8,ship,2231,26.250147076126602,38.05468399820708,0.9412819363514119,5.968119491360854,7.05358903291283,34.2,0.0,-34.2,9.646666666666667,0.0,-9.646666666666667
2,ShuffleNet,9,truck,1744,20.520061183668666,6.192660550458716,0.6307339449541285,5.804049674352168,10.611239408516289,37.266666666666666,0.0,-37.266666666666666,12.24,0.0,-12.24
3,Mobilenetv2,0,airplane,1057,12.439684594562788,75.21286660359509,4.919583727530748,5.910673065608326,6.900863935407695,64.0,0.0,-64.0,20.353333333333335,0.0,-20.353333333333335
3,Mobilenetv2,1,automobile,1693,19.924679298575967,70.58476077968105,1.6538688718251624,5.819523038402903,8.645057343241389,46.93333333333333,62.73333333333333,15.799999999999997,18.673333333333332,19.666666666666664,0.9933333333333323
3,Mobilenetv2,2,bird,436,5.131222784512181,88.30275229357798,2.293577981651376,5.678458442723505,12.48260744546246,0.0,14.2,14.2,0.0,8.973333333333333,8.973333333333333
3,Mobilenetv2,3,cat,78,0.9179710486053901,7.6923076923076925,3.8461538461538463,3.979415472873089,29.60539114958689,0.0,0.0,0.0,0.0,0.0,0.0
3,Mobilenetv2,4,deer,332,3.9072613863716605,28.313253012048197,0.9036144578313252,5.023409910671553,20.775151163334595,0.0,0.0,0.0,0.0,0.0,0.0
3,Mobilenetv2,5,dog,2309,27.17429681063905,82.80640970116934,1.9055868341273277,5.9964499518187,4.782561586864947,74.46666666666667,0.13333333333333333,-74.33333333333333,43.43333333333334,0.05333333333333334,-43.38
3,Mobilenetv2,6,frog,699,8.226432858655997,66.38054363376253,1.144492131616595,5.67232938936658,10.7765468197561,0.06666666666666667,88.2,88.13333333333334,0.04,58.21333333333333,58.17333333333333
3,Mobilenetv2,7,horse,9,0.10591973637754501,100.0,0.0,1.0,106.2125,0.0,0.0,0.0,0.0,0.0,0.0
3,Mobilenetv2,8,ship,120,1.4122631517006001,12.5,1.6666666666666667,4.9393575860753645,28.185222830138578,0.0,34.333333333333336,34.333333333333336,0.0,9.16,9.16
3,Mobilenetv2,9,truck,1764,20.760268329998823,93.08390022675736,1.4172335600907031,5.818068724286093,8.75222930572885,41.13333333333333,12.0,-29.133333333333333,17.5,3.933333333333333,-13.566666666666666
