system,client,architecture,half,arm,routing_mode,routing_eigenvalue
l9,0,ResNet10,u1,frozen,6,0.06448753792231676
l9,0,ResNet10,u1,frozen,7,0.03811420673126438
l9,0,ResNet10,u1,frozen,8,0.0005398576282034753
l9,0,ResNet10,u1,frozen,9,0.00038809652874108037
l9,0,ResNet10,u1,frozen,10,3.490525596505143e-31
l9,0,ResNet10,u1,crsf,1,17.01015285109792
l9,0,ResNet10,u1,crsf,2,6.0014526750642405
l9,0,ResNet10,u1,crsf,3,1.5252090855309164
l9,0,ResNet10,u1,crsf,4,0.6872279668819752
l9,0,ResNet10,u1,crsf,5,0.3113966411099071
l9,0,ResNet10,u1,crsf,6,0.07632268415358766
l9,0,ResNet10,u1,crsf,7,0.043589441694709324
l9,0,ResNet10,u1,crsf,8,0.0006100002364285516
l9,0,ResNet10,u1,crsf,9,0.000418672941180843
l9,0,ResNet10,u1,crsf,10,2.443884440559253e-31
l9,0,ResNet10,u1,rawspec,1,20.672924219950573
l9,0,ResNet10,u1,rawspec,2,4.945492828134591
l9,0,ResNet10,u1,rawspec,3,1.5305054341502116
l9,0,ResNet10,u1,rawspec,4,0.6869758465040783
l9,0,ResNet10,u1,rawspec,5,0.3275696953680111
l9,0,ResNet10,u1,rawspec,6,0.07089021196726311
l9,0,ResNet10,u1,rawspec,7,0.040850726268663956
l9,0,ResNet10,u1,rawspec,8,0.0006203483102133471
l9,0,ResNet10,u1,rawspec,9,0.00040236426912140306
l9,0,ResNet10,u1,rawspec,10,3.382204358263404e-31
l9,0,ResNet10,u2,frozen,1,17.709639046366327
l9,0,ResNet10,u2,frozen,2,5.2916285862863575
l9,0,ResNet10,u2,frozen,3,1.4125042173856743
l9,0,ResNet10,u2,frozen,4,0.6472989762675377
l9,0,ResNet10,u2,frozen,5,0.2970398210692205
l9,0,ResNet10,u2,frozen,6,0.05720301262109544
l9,0,ResNet10,u2,frozen,7,0.0369419237582908
l9,0,ResNet10,u2,frozen,8,0.000572926501416468
l9,0,ResNet10,u2,frozen,9,0.0003904610464106319
l9,0,ResNet10,u2,frozen,10,3.3740283151539597e-31
l9,0,ResNet10,u2,crsf,1,16.195459253985113
l9,0,ResNet10,u2,crsf,2,6.094497479413568
l9,0,ResNet10,u2,crsf,3,1.4422728954981856
l9,0,ResNet10,u2,crsf,4,0.6947344502623226
l9,0,ResNet10,u2,crsf,5,0.3146382573424764
l9,0,ResNet10,u2,crsf,6,0.06766368651438666
l9,0,ResNet10,u2,crsf,7,0.04180741563812525
l9,0,ResNet10,u2,crsf,8,0.0006414344918614842
l9,0,ResNet10,u2,crsf,9,0.0004135487582516299
l9,0,ResNet10,u2,crsf,10,1.599778030509913e-31
l9,0,ResNet10,u2,rawspec,1,19.56982201609198
l9,0,ResNet10,u2,rawspec,2,5.004776238719864
l9,0,ResNet10,u2,rawspec,3,1.4655522090982651
l9,0,ResNet10,u2,rawspec,4,0.6958824078444421
l9,0,ResNet10,u2,rawspec,5,0.3337996238147653
l9,0,ResNet10,u2,rawspec,6,0.06302376528645927
l9,0,ResNet10,u2,rawspec,7,0.03956517532552506
l9,0,ResNet10,u2,rawspec,8,0.0006586495847859127
l9,0,ResNet10,u2,rawspec,9,0.00040320268046696784
l9,0,ResNet10,u2,rawspec,10,3.111747359240651e-31
l9,3,Mobilenetv2,u1,frozen,1,8.286793117676439
l9,3,Mobilenetv2,u1,frozen,2,0.6634702123622133
l9,3,Mobilenetv2,u1,frozen,3,0.4068389192363937
l9,3,Mobilenetv2,u1,frozen,4,0.20579333719340498
l9,3,Mobilenetv2,u1,frozen,5,0.06130529144557457
l9,3,Mobilenetv2,u1,frozen,6,0.025895733696071586
l9,3,Mobilenetv2,u1,frozen,7,0.017505853436575843
l9,3,Mobilenetv2,u1,frozen,8,0.009772154693263521
l9,3,Mobilenetv2,u1,frozen,9,0.005779922524158878
l9,3,Mobilenetv2,u1,frozen,10,2.639504873595134e-31
l9,3,Mobilenetv2,u1,crsf,1,8.145578965266855
l9,3,Mobilenetv2,u1,crsf,2,0.6993035280977392
l9,3,Mobilenetv2,u1,crsf,3,0.4155210382371216
l9,3,Mobilenetv2,u1,crsf,4,0.2127618913988443
l9,3,Mobilenetv2,u1,crsf,5,0.06258551265320372
l9,3,Mobilenetv2,u1,crsf,6,0.026393532231474334
l9,3,Mobilenetv2,u1,crsf,7,0.017868503651731205
l9,3,Mobilenetv2,u1,crsf,8,0.009858586921808295
l9,3,Mobilenetv2,u1,crsf,9,0.005818963972266038
l9,3,Mobilenetv2,u1,crsf,10,1.394417649555534e-31
l9,3,Mobilenetv2,u1,rawspec,1,8.332549541890682
l9,3,Mobilenetv2,u1,rawspec,2,0.6399362339543566
l9,3,Mobilenetv2,u1,rawspec,3,0.41302061602826723
l9,3,Mobilenetv2,u1,rawspec,4,0.2094321205635384
l9,3,Mobilenetv2,u1,rawspec,5,0.06218916368203749
l9,3,Mobilenetv2,u1,rawspec,6,0.02767983866337253
l9,3,Mobilenetv2,u1,rawspec,7,0.01759990361563555
l9,3,Mobilenetv2,u1,rawspec,8,0.010164309212547127
l9,3,Mobilenetv2,u1,rawspec,9,0.005728165336944102
l9,3,Mobilenetv2,u1,rawspec,10,1.6450784519818493e-31
l9,3,Mobilenetv2,u2,frozen,1,8.109322831678098
l9,3,Mobilenetv2,u2,frozen,2,0.7140644091044117
l9,3,Mobilenetv2,u2,frozen,3,0.40407871864940953
l9,3,Mobilenetv2,u2,frozen,4,0.17999478674650973
l9,3,Mobilenetv2,u2,frozen,5,0.06433961760621963
l9,3,Mobilenetv2,u2,frozen,6,0.025684522807420878
l9,3,Mobilenetv2,u2,frozen,7,0.018909810503046555
l9,3,Mobilenetv2,u2,frozen,8,0.009447539505215066
l9,3,Mobilenetv2,u2,frozen,9,0.005212102831657682
l9,3,Mobilenetv2,u2,frozen,10,9.868348365397509e-32
l9,3,Mobilenetv2,u2,crsf,1,7.970290654848125
l9,3,Mobilenetv2,u2,crsf,2,0.7405340553867623
l9,3,Mobilenetv2,u2,crsf,3,0.4188179968685584
l9,3,Mobilenetv2,u2,crsf,4,0.18600617776793968
l9,3,Mobilenetv2,u2,crsf,5,0.0656797632523076
l9,3,Mobilenetv2,u2,crsf,6,0.026348588208548004
l9,3,Mobilenetv2,u2,crsf,7,0.019364773934237713
l9,3,Mobilenetv2,u2,crsf,8,0.009507570802002617
l9,3,Mobilenetv2,u2,crsf,9,0.0052034136531196925
l9,3,Mobilenetv2,u2,crsf,10,6.826516969615251e-32
l9,3,Mobilenetv2,u2,rawspec,1,8.156448571041308
l9,3,Mobilenetv2,u2,rawspec,2,0.6882229403598034
l9,3,Mobilenetv2,u2,rawspec,3,0.4085161451966384
l9,3,Mobilenetv2,u2,rawspec,4,0.18342948880915094
l9,3,Mobilenetv2,u2,rawspec,5,0.06522026312974184
l9,3,Mobilenetv2,u2,rawspec,6,0.02723922874894019
l9,3,Mobilenetv2,u2,rawspec,7,0.01900377761991302
l9,3,Mobilenetv2,u2,rawspec,8,0.009870097106036785
l9,3,Mobilenetv2,u2,rawspec,9,0.005209847103989898
l9,3,Mobilenetv2,u2,rawspec,10,1.5817754725762286e-31
