system,client,architecture,half,arm,gram_max_abs_error,chi,chi_rw,response_trace,weighted_trace,mode1_readout_gain,mean_readout_gain,response_energy_weighted_readout_gain,mode1_weighted_lambda,top1_weighted_share,top2_weighted_share,top4_weighted_share,top8_weighted_share,leading1_response_mode_weighted_share,leading2_response_modes_weighted_share,leading4_response_modes_weighted_share,leading8_response_modes_weighted_share,routing_frobenius,raw_routing_frobenius,mean_top1_top2_margin,routing_top1_share,routing_top2_share,routing_top4_share,routing_top8_share,mode1_abs_cosine,top4_mode_abs_cosine_mean,top8_mode_abs_cosine_mean,mode1_readout_coupling_cosine,top4_readout_coupling_cosine_mean,top8_readout_coupling_cosine_mean,top2_subspace_overlap,top4_subspace_overlap,top8_subspace_overlap,routing_matrix_cosine,raw_routing_matrix_cosine,row_cosine_mean,row_cosine_min,column_cosine_mean,column_cosine_min,top_class_retention,top_abs_class_retention,class_norm_vector_cosine,top3_class_norm_overlap,top5_class_norm_overlap
h9,3,Mobilenetv2,u2,crsf,8.935907569451729e-13,0.6199505908302437,0.690661931813358,18.5151101957621,18.044789384783,1.0332875209610168,0.2708865842035421,0.9745980009837181,14.902080664636213,0.8258384371725056,0.8947217161055988,0.9721855144251382,0.9942520676596299,0.8258384371725056,0.8836797233604987,0.9721855144251382,0.9935244308814866,4.247915887206689,16.17509685703465,0.07814675725739036,0.835390213770329,0.9206979860367692,0.9871871272552126,0.9998126889654481,0.999432308072672,0.9985519181232023,0.9983417069619238,0.9997957821407256,0.9983354855940131,0.9980021118401614,0.9973822815301518,0.9987416189940865,0.9993489124267299,0.9996972041391893,0.9996814031351277,0.9998145964982192,0.999406873343921,0.999663947159692,0.9982571276991051,1.0,0.984375,0.9998240309026375,1.0,1.0
h9,3,Mobilenetv2,u2,rawspec,9.137968159933507e-13,0.629282593320529,0.7022668223426467,18.646121406278723,18.192117263812232,1.0352342730948123,0.2711068473512565,0.9756515506590226,15.16145413921272,0.8334078941636932,0.8980053435644114,0.9730720494213758,0.9942662323217384,0.8334078941636932,0.8875448047498813,0.973072049421376,0.9935056527225018,4.265221830551398,16.254251015762826,0.0759715888035834,0.8432477827815437,0.9201078892399256,0.9874285891957182,0.9998226946428117,0.9993870031953652,0.9938375476213482,0.9944303509376248,0.9997709408577732,0.9975198742899201,0.990864738557625,0.9981119509485489,0.9909323998115316,0.999214841844912,0.9997864174616707,0.9997900848378763,0.9998496871801994,0.999078861319302,0.9997615547424459,0.9991523338698566,0.984375,0.984375,0.9998390722083684,1.0,1.0
l9,0,ResNet10,u1,frozen,7.767952947546064e-13,0.5655917817925007,0.48248176116646246,23.04019264913505,26.422048589813308,1.0260415137662755,0.41465915380018636,1.146780714561656,17.531180360182862,0.6635057194975331,0.8564845277393419,0.9469891528012402,0.9901437836894242,0.6635057194975332,0.7166718257108028,0.9469891528012403,0.9871604226040128,5.140238184151909,33.616122305854645,0.0701774508030394,0.7040365616600487,0.9055052329449897,0.9850347769680606,0.9999853116412447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l9,0,ResNet10,u1,crsf,7.979172877981e-13,0.5154799022265018,0.43075099384156235,21.9200787981799,25.65638001871079,1.0356938320737696,0.41526499871689637,1.1704510852780843,15.957574743678066,0.6219729646988569,0.7995905105641375,0.9396420945378149,0.9889850218012521,0.621972964698857,0.7196266449448098,0.9396420945378151,0.9856345222742564,5.0652127318317905,31.333198906426293,0.07209973560580854,0.6629989436815574,0.8969155239117949,0.9831489306043754,0.9999836815271338,0.9972724301634617,0.9825690874266662,0.9881546981870879,0.9980431587862769,0.9582978928202192,0.9748150302725926,0.9665206279470648,0.9949484352557398,0.9964487317375377,0.9955998956004287,0.993602564988907,0.9947108887869895,0.9861889937366374,0.9957345452770757,0.9857017782731278,0.90625,0.953125,0.9988169347349022,1.0,1.0
l9,0,ResNet10,u1,rawspec,7.382428002244978e-13,0.5525922628430437,0.4897245666309792,23.057678717622604,28.276231674922727,1.1327759820767975,0.4169837625246745,1.22632603312803,19.130152646040084,0.6765453355301936,0.8334003170226504,0.9422560960719513,0.9899359561529483,0.6765453355301936,0.7458481824629005,0.9422560960719513,0.987442554500292,5.317540002193,35.17096814622594,0.07260807953728429,0.7311060560550124,0.9060053455003096,0.9844274388735543,0.9999857702301443,0.9937902512448179,0.9876339671732575,0.9912337171103007,0.9919790960855216,0.9744510412840772,0.981362311144323,0.9785767473076399,0.9975169685232006,0.9965265261555658,0.9952511395450025,0.9953043194920681,0.9947069414241596,0.9849684482985536,0.9951620905833366,0.9851539879423061,0.921875,0.953125,0.998451782441819,1.0,1.0
l9,0,ResNet10,u2,frozen,7.711054017534025e-13,0.5605912376677596,0.47740032463385595,22.538753301133237,25.453218971302338,1.0105842361974833,0.4088644733735143,1.1293090896035747,16.80748308444508,0.6603283892459717,0.8494979396490031,0.9436073346935979,0.9903795522426645,0.6603283892459717,0.7166203319178363,0.9436073346935979,0.9866256085868796,5.045118330753237,33.525102999259964,0.07205853080815705,0.6957720776430425,0.9036683202460899,0.9845933771505063,0.9999846596594776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l9,0,ResNet10,u2,crsf,7.946143742998402e-13,0.510062070197273,0.42300683713899234,21.465625584444982,24.852128421904283,1.0218650286311657,0.4095630159535973,1.1577639945380078,15.321229280412187,0.6164956586538597,0.7832603427525049,0.9362024650111094,0.9885721878878475,0.6164956586538597,0.7259310481767245,0.9362024650111094,0.9850156172149317,4.985190911279556,31.42633061241697,0.07411183139607719,0.6516729263200925,0.8969033297668239,0.9828922362090174,0.9999833596241242,0.9972169077470857,0.983863406041324,0.988959878139388,0.9976570364167441,0.967532584609337,0.978928492245971,0.9695555221614551,0.9947578183980177,0.9967211052189547,0.9953067514443248,0.9932283725871076,0.9944306604102131,0.9850774642892044,0.9954214252662559,0.9838864043515922,0.90625,0.953125,0.9986663455837489,1.0,1.0
l9,0,ResNet10,u2,rawspec,7.350509090287005e-13,0.5464653847507049,0.47972252679224703,22.569618253616834,27.173483288446608,1.1075885656093392,0.41046694790126453,1.203985064483401,18.193665675290003,0.6695374855760737,0.8191762289210586,0.937463726615861,0.9894848977272438,0.6695374855760737,0.747341579347463,0.9374637266158611,0.9868230386541,5.212819130609326,34.9296627966596,0.07480542668472902,0.7201808398414844,0.9043595182094417,0.9839015700693038,0.9999851619066946,0.9939133089952871,0.9884623377816996,0.9918595421430276,0.9920922655868774,0.9793057142815622,0.9843372441409457,0.9802866546696227,0.9974998529579413,0.9966828084255024,0.9952880441616343,0.9953083672276474,0.9944765068175903,0.9842582361119766,0.9952360271613485,0.9854070980424366,0.921875,0.984375,0.9985181613946027,1.0,1.0
l9,3,Mobilenetv2,u1,frozen,5.837552663479073e-13,0.646656834570028,0.717289055489821,17.66044559603592,9.683154542264099,0.5796392889752623,0.26325861168275333,0.5482961621555907,8.168280157385116,0.8435556947617636,0.9040307776614277,0.9620378584562408,0.9913978519357818,0.8435556947617633,0.8787226850112144,0.9620378584562405,0.9913978519357814,3.1117767500680533,19.53114550437795,0.053682723730849743,0.8557947806685361,0.9243127630539626,0.9875806014175704,0.9994030950865308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l9,3,Mobilenetv2,u1,crsf,5.740685704580528e-13,0.6307419783379712,0.7058248106472301,17.287894245300592,9.595690522431044,0.5896043013899098,0.2630230315548415,0.5550525926568218,8.02537872428182,0.8363523923079393,0.9011629129101463,0.9598871390000118,0.9910850986294546,0.836352392307939,0.8721271619984047,0.9598871390000113,0.9910850986294543,3.0976911599497847,19.226977443609073,0.053763938052642346,0.8488788739305021,0.9217557061358588,0.9872312368615822,0.9993935856978022,0.9994275928631406,0.9982489167753554,0.9984755889514911,0.9998065334554449,0.998122714854933,0.9982187562516378,0.9972471490938026,0.9984042609805304,0.9989910590190292,0.9997100934097944,0.999718447314294,0.9998438771496196,0.9997021502386397,0.9996892504300443,0.9990825962357675,1.0,0.9375,0.9998305871116944,1.0,1.0
