system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
l9,0,ResNet10,u1,crsf,47,0.00041002682681478723,0.09531967184118235,3.908362257806683e-05
l9,0,ResNet10,u1,crsf,48,0.00037390228643591135,0.09423817539641502,3.523586925026802e-05
l9,0,ResNet10,u1,crsf,49,0.00031128891202527405,0.021265521910302117,6.619721179107573e-06
l9,0,ResNet10,u1,crsf,50,0.0002767545709309559,0.10452141462903367,2.8926779258754747e-05
l9,0,ResNet10,u1,crsf,51,0.00026759189266407495,0.023695032014608184,6.340598463524853e-06
l9,0,ResNet10,u1,crsf,52,0.00023800318643726865,0.19616837611028698,4.668869859247287e-05
l9,0,ResNet10,u1,crsf,53,0.00021008988390552877,0.28444075445966016,5.975812508243102e-05
l9,0,ResNet10,u1,crsf,54,0.00019055287433136298,0.2566028452385528,4.8896409721812136e-05
l9,0,ResNet10,u1,crsf,55,0.00017393461694381528,0.05194715915226463,9.035409228468557e-06
l9,0,ResNet10,u1,crsf,56,0.0001582399030134264,0.16875942252024334,2.670447465220515e-05
l9,0,ResNet10,u1,crsf,57,0.00013185012523997942,0.1306726320658624,1.722920290332171e-05
l9,0,ResNet10,u1,crsf,58,0.00012744525910251617,0.07232145346554822,9.21702637558736e-06
l9,0,ResNet10,u1,crsf,59,0.00011277025321237203,0.037495787173175164,4.228409413916175e-06
l9,0,ResNet10,u1,crsf,60,0.00010327079729883776,0.0072725202980347325,7.51038969550028e-07
l9,0,ResNet10,u1,crsf,61,8.275126703532286e-05,0.04059203720512215,3.359042510268824e-06
l9,0,ResNet10,u1,crsf,62,7.238347348862602e-05,0.06103730123433219,4.418091875712564e-06
l9,0,ResNet10,u1,crsf,63,6.765005916962912e-05,0.060428895076748125,4.088018327497321e-06
l9,0,ResNet10,u1,crsf,64,4.778631180468679e-05,0.012522003544470682,5.983803657954693e-07
l9,0,ResNet10,u1,rawspec,1,16.88785156882249,1.1327759820767975,19.130152646040084
l9,0,ResNet10,u1,rawspec,2,2.4191996837571543,0.8100296014248495,1.9596233556009297
l9,0,ResNet10,u1,rawspec,3,1.2660036754752004,3.5033609159006804,4.435267796046426
l9,0,ResNet10,u1,rawspec,4,0.7939305287584943,1.4086974003886814,1.1184078719513022
l9,0,ResNet10,u1,rawspec,5,0.5690265553237587,1.4730653844214938,0.838213321464031
l9,0,ResNet10,u1,rawspec,6,0.31352092277104177,0.3773326241973868,0.11830167252998343
l9,0,ResNet10,u1,rawspec,7,0.19783109346580502,1.5757525111579107,0.3117328423138576
l9,0,ResNet10,u1,rawspec,8,0.13667991893675263,0.06917571253115244,0.009454930781150018
l9,0,ResNet10,u1,rawspec,9,0.1066234015599339,0.7499191772206825,0.07995893357029606
l9,0,ResNet10,u1,rawspec,10,0.07534870415639067,0.3790086785753027,0.028557812794675043
l9,0,ResNet10,u1,rawspec,11,0.0458358235993565,1.515520428080998,0.06946512700274188
l9,0,ResNet10,u1,rawspec,12,0.04185608887657981,0.6765672526515037,0.028318459057964766
l9,0,ResNet10,u1,rawspec,13,0.03252980014050769,1.6388831718014067,0.05331254203234109
l9,0,ResNet10,u1,rawspec,14,0.02846019215268462,1.4981329749161925,0.04263715233638789
l9,0,ResNet10,u1,rawspec,15,0.0213684766763201,0.27376556171995686,0.005849953020392569
l9,0,ResNet10,u1,rawspec,16,0.016914108704025314,0.4774650503631591,0.008075895764215395
l9,0,ResNet10,u1,rawspec,17,0.014452782747916549,0.6666899028470632,0.009635524326078195
l9,0,ResNet10,u1,rawspec,18,0.013552617915794806,0.648612653727796,0.00879039947132254
l9,0,ResNet10,u1,rawspec,19,0.00914182159690324,0.28508453134858863,0.002606191925625566
l9,0,ResNet10,u1,rawspec,20,0.007243366439318607,0.36985347345701075,0.002678984237103927
l9,0,ResNet10,u1,rawspec,21,0.006764754384117484,0.26057770765323085,0.0017627441902504774
l9,0,ResNet10,u1,rawspec,22,0.005685734843976262,0.3391366534969844,0.001928241087657308
l9,0,ResNet10,u1,rawspec,23,0.00481177738588206,0.596473989511209,0.0028701000539968886
l9,0,ResNet10,u1,rawspec,24,0.004342307759328243,0.17269699815038408,0.000749903515081108
l9,0,ResNet10,u1,rawspec,25,0.004169120405505669,0.10224392068459656,0.0004262672160650547
l9,0,ResNet10,u1,rawspec,26,0.003696254588167066,0.25201335584331735,0.0009315055228152413
l9,0,ResNet10,u1,rawspec,27,0.002974993690490273,0.4062121525036716,0.0012084785906988956
l9,0,ResNet10,u1,rawspec,28,0.0028465981176165334,0.32908826581385114,0.000936782037995398
l9,0,ResNet10,u1,rawspec,29,0.0025607576934970964,0.25020688070535174,0.0006407191947321397
l9,0,ResNet10,u1,rawspec,30,0.0023257809736113386,0.17455984146748119,0.0004059879580416793
l9,0,ResNet10,u1,rawspec,31,0.0020431122744640133,0.19509244878817794,0.00039859577677436826
l9,0,ResNet10,u1,rawspec,32,0.0017871423053592557,0.20722240771664457,0.0003703359314488198
l9,0,ResNet10,u1,rawspec,33,0.0016661815732176895,0.21480381646268937,0.00035790216084696764
l9,0,ResNet10,u1,rawspec,34,0.0014678184826332564,0.09735867722361638,0.00014290486587354958
l9,0,ResNet10,u1,rawspec,35,0.0014616318369814658,0.1516669165303692,0.0002216811938175982
l9,0,ResNet10,u1,rawspec,36,0.0014040971591149413,0.3155098266378518,0.00044300645125505537
l9,0,ResNet10,u1,rawspec,37,0.001088623550813788,0.2969854531960592,0.000323305358598336
l9,0,ResNet10,u1,rawspec,38,0.0009283241909287958,0.07353853647481143,6.826760237506705e-05
l9,0,ResNet10,u1,rawspec,39,0.000864101391248206,0.20580874299231486,0.00017783962115070374
l9,0,ResNet10,u1,rawspec,40,0.0007705992699070445,0.16409565540793475,0.00012645199225227248
l9,0,ResNet10,u1,rawspec,41,0.0007571100348651756,0.13182021904216976,9.980241063495223e-05
l9,0,ResNet10,u1,rawspec,42,0.0006739801996253759,0.13542433709430354,9.12733217489529e-05
l9,0,ResNet10,u1,rawspec,43,0.0006329091087411086,0.07970235181208978,5.0444344449960024e-05
l9,0,ResNet10,u1,rawspec,44,0.0005121899969230876,0.1354391516528061,6.937057866831636e-05
l9,0,ResNet10,u1,rawspec,45,0.0004681302525678218,0.06621302198661565,3.099631870587312e-05
l9,0,ResNet10,u1,rawspec,46,0.0004173710335053579,0.049362659353601436,2.0602544150985556e-05
l9,0,ResNet10,u1,rawspec,47,0.00039420595892223915,0.07721752008334506,3.0439606550052302e-05
