system,client,architecture,half,arm,class,routing_norm
l9,3,Mobilenetv2,u1,crsf,5,1.4218842792450614
l9,3,Mobilenetv2,u1,crsf,6,0.9624250667910217
l9,3,Mobilenetv2,u1,crsf,7,0.57851613815351
l9,3,Mobilenetv2,u1,crsf,8,1.120387191309819
l9,3,Mobilenetv2,u1,crsf,9,1.0709270750076183
l9,3,Mobilenetv2,u1,rawspec,0,1.0820110324850452
l9,3,Mobilenetv2,u1,rawspec,1,0.9320155761391388
l9,3,Mobilenetv2,u1,rawspec,2,1.1659482515320099
l9,3,Mobilenetv2,u1,rawspec,3,0.5266336747539692
l9,3,Mobilenetv2,u1,rawspec,4,0.5584799411979292
l9,3,Mobilenetv2,u1,rawspec,5,1.4287020134903299
l9,3,Mobilenetv2,u1,rawspec,6,0.987456337141208
l9,3,Mobilenetv2,u1,rawspec,7,0.5732184032246741
l9,3,Mobilenetv2,u1,rawspec,8,1.0845170656942893
l9,3,Mobilenetv2,u1,rawspec,9,1.099638450726851
l9,3,Mobilenetv2,u2,frozen,0,1.0475901741291667
l9,3,Mobilenetv2,u2,frozen,1,0.9250976255949513
l9,3,Mobilenetv2,u2,frozen,2,1.1753201812150695
l9,3,Mobilenetv2,u2,frozen,3,0.4964941736385655
l9,3,Mobilenetv2,u2,frozen,4,0.5298016614886641
l9,3,Mobilenetv2,u2,frozen,5,1.3956902800854063
l9,3,Mobilenetv2,u2,frozen,6,1.0172398085063108
l9,3,Mobilenetv2,u2,frozen,7,0.5898167175043246
l9,3,Mobilenetv2,u2,frozen,8,1.0543233929767044
l9,3,Mobilenetv2,u2,frozen,9,1.1077093450511561
l9,3,Mobilenetv2,u2,crsf,0,1.0635529296614885
l9,3,Mobilenetv2,u2,crsf,1,0.9180765724807732
l9,3,Mobilenetv2,u2,crsf,2,1.1481455659889799
l9,3,Mobilenetv2,u2,crsf,3,0.5107057493884888
l9,3,Mobilenetv2,u2,crsf,4,0.5363058125469932
